"账号","return-date","order-id","sku","中间值","asin","fnsku","product-name","quantity","fulfillment-center-id","原因","detailed-disposition","reason","status","license-plate-number","customer-comments"
"fuck","20200923","114-2491968-2085002","SZ-YSB-AA-21075-1","中间值","B01MQVMFUN","X002059FVT","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","LEX1","客人不喜欢","CUSTOMER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNRRAG1388095",
"fuck","20200922","114-8670299-1850659","SZ-YSB-AA-21892","中间值","B082PRZWK8","X002EXYNMX","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","IND8","客人不喜欢","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNN785532637",
"fuck","20200922","112-7738332-1170602","SZ-YSB-AA-21892","中间值","B082PRZWK8","X002EXYNMX","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","LAS2","客人不喜欢","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRRAE7736159",
"fuck","20200921","113-3225174-7200208","SZ-YSB-AA-21033 -1","中间值","B01LXNNAEY","X001ZCZCEH","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","LEX1","客人不喜欢","质量问题","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRRAF5008259",
"fuck","20200921","111-3190254-2068225","SZ-YSB-AA-21075-1","中间值","B01MQVMFUN","X002059FVT","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","LAS2","客人不喜欢","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNRRAE7219517",
"fuck","20200921","113-5913127-3491422","SZ-YSB-AA-21033 -1","中间值","B01LXNNAEY","X001ZCZCEH","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","IND8","客人不喜欢","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNN776741423",
"fuck","20200920","112-8661247-5426616","SZ-YSB-AA-21075-1","中间值","B01MQVMFUN","X002059FVT","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","TUS1","客人不喜欢","SELLABLE","NEVER_ARRIVED","Unit returned to inventory","LPNPM151927143",
"fuck","20200920","114-2743019-3181003","SZ-YSB-AA-21033 -1","中间值","B01LXNNAEY","X001ZCZCEH","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","LEX2","客人不喜欢","SELLABLE","UNDELIVERABLE_REFUSED","Unit returned to inventory","LPNPM247931661",
"fuck","20200920","114-2743019-3181003","SZ-YSB-AA-21033 -1","中间值","B01LXNNAEY","X001ZCZCEH","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","LEX2","客人不喜欢","SELLABLE","UNDELIVERABLE_REFUSED","Unit returned to inventory","LPNPM247931662",
"fuck","20200920","112-7098750-2624266","SZ-YSB-AA-21891","中间值","B082PS2NDP","X002EXYNMN","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","LEX2","客人不喜欢","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM264470860",
"fuck","20200920","114-8505856-1827456","SZ-YSB-AA-21075-1","中间值","B01MQVMFUN","X002059FVT","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","LEX1","客人不喜欢","质量问题","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRRAF4469500",
"fuck","20200920","111-2631558-5146619","SZ-YSB-AA-21075-1","中间值","B01MQVMFUN","X002059FVT","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","TUS1","客人不喜欢","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPM266353332",
"fuck","20200919","113-2136334-3245011","SZ-YSB-AA-21891","中间值","B082PS2NDP","X002EXYNMN","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","LEX2","客人不喜欢","质量问题","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPM247855800",
"fuck","20200919","113-5361540-6133014","SZ-YSB-AA-21035-1","中间值","B07T2Z48PH","X002KIXGJN","NENRENT S580 Bluetooth Headset,Longest Call Time Up to 12-15 Hour Right Ear Wireless Headphone Earphone Earpiece with Mic Hands-Free Calls Black 1 Pie","1","LAS2","客人不喜欢","质量问题","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRRAE7535084",
