"’À∫≈","÷–º‰÷µ","date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"fuck","midvalue","20200913","13351217131","Refund","111-4638600-8057016","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","YONKERS","NY","10701-7376","MarketplaceFacilitator","-16.99","-1.51","0","0","0","0","0","0","1.51","2.04","0","0","0",14.95"
"fuck","midvalue","20200913","13351217131","Refund","114-8510577-8884200","SZ-YSB-AA-21279-1","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V5.0 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for","1","amazon.com","Standard Orders","Amazon","WARRIOR","AL","35180-4952","MarketplaceFacilitator","-22.99","-1.84","0","0","0","0","0","0","1.84","2.76","0","0","0",20.23"
"fuck","midvalue","20200913","13351217131","Refund","114-9967423-2786668","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","LONGMONT","CO","80504-6848","MarketplaceFacilitator","-19.99","-1.00","0","0","0","0","0","0","1.00","2.40","0","0","0",17.59"
"fuck","midvalue","20200913","13351217131","Refund","112-2075370-7638660","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","CHANDLER","AZ","85249-4286","MarketplaceFacilitator","-19.99","-1.56","0","0","0","0","0","0","1.56","2.40","0","0","4.00",13.59"
"fuck","midvalue","20200913","13351217131","Refund","112-0035873-7473865","SZ-YSB-AA-21767-1","NENRENT S3 Bluetooth Headphones Over Ear with Mic, Wireless Headphones,7 Sound Models,Noise Cancelling Headphones,Tf Card MP3 Mode,Foldable Wire Wirel","2","amazon.com","Standard Orders","Amazon","SNOHOMISH","WA","98296-5403","MarketplaceFacilitator","-43.98","-3.44","0","0","0","0","0","0","3.44","5.28","0","0","0",38.70"
"fuck","midvalue","20200914","13351217131","Refund","114-2527944-1230660","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","HERNDON","VA","20171-4794","MarketplaceFacilitator","-16.99","-1.02","0","0","0","0","0","0","1.02","2.04","0","0","0",14.95"
"fuck","midvalue","20200914","13351217131","Refund","113-8419761-6854643","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","2","amazon.com","Standard Orders","Amazon","ZELIENOPLE","PA","16063-3037","MarketplaceFacilitator","-25.98","-1.56","0","0","0","0","0","0","1.56","3.12","0","0","0",22.86"
"fuck","midvalue","20200914","13351217131","Refund","111-7602222-9390612","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","Fayetteville","TN","37334","","-19.99","0","0","0","0","0","0","0","0","2.40","0","0","0",17.59"
"fuck","midvalue","20200914","13351217131","Refund","111-7789596-9510630","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","WEST HARTFORD","CT","06110-1220","MarketplaceFacilitator","-16.99","-1.08","0","0","0","0","0","0","1.08","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","112-3264346-5512254","SZ-YSB-AA-21279-1","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V5.0 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for","1","amazon.com","Standard Orders","Amazon","LAKELAND","TN","38002-4289","","-24.99","0","0","0","0","0","0","0","0","3.00","0","0","0",21.99"
"fuck","midvalue","20200915","13351217131","Refund","112-0533665-1773864","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","JASPER","AL","35504-3219","MarketplaceFacilitator","-16.99","-1.36","-3.20","0","0","0","3.20","0","1.36","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","112-8523658-8608254","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","FAIRVIEW","NC","28730-9657","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","111-1833387-0520261","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","INDIANAPOLIS","IN","46205-1261","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","111-9444363-2706646","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","WILLIAMSTOWN","NJ","08094-2963","MarketplaceFacilitator","-16.99","-1.13","0","0","0","0","0","0","1.13","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","111-0410593-0855442","SZ-YSB-AA-21279-1","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V5.0 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for","1","amazon.com","Standard Orders","Amazon","OKLAHOMA CITY","OK","73162-5922","MarketplaceFacilitator","-22.99","-1.98","0","0","0","0","0","0","1.98","2.76","0","0","0",20.23"
"fuck","midvalue","20200915","13351217131","Refund","111-8321835-3895454","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","SHOREVIEW","MN","55126-8457","MarketplaceFacilitator","-16.99","-1.25","0","0","0","0","0","0","1.25","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","112-4211844-4219457","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","MADISON","WI","53705-4850","MarketplaceFacilitator","-16.99","-0.93","0","0","0","0","0","0","0.93","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","111-9635564-5559403","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","MANASSAS","VA","20110","MarketplaceFacilitator","-16.99","-1.02","0","0","0","0","0","0","1.02","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","111-0515993-4525829","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","OAK ISLAND","NC","28465-7006","MarketplaceFacilitator","-19.99","-1.35","0","0","0","0","0","0","1.35","2.40","0","0","4.00",13.59"
"fuck","midvalue","20200915","13351217131","Refund","112-3490219-5429025","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","VICTORVILLE","CA","92392-8211","MarketplaceFacilitator","-14.99","-1.16","0","0","0","0","0","0","1.16","1.80","0","0","0",13.19"
"fuck","midvalue","20200915","13351217131","Refund","114-7797467-7259418","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","SEATTLE","WA","98104-1161","MarketplaceFacilitator","-16.99","-1.72","0","0","0","0","0","0","1.72","2.04","0","0","0",14.95"
"fuck","midvalue","20200915","13351217131","Refund","114-3147245-8313007","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","CINCINNATI","OH","45236-4127","MarketplaceFacilitator","-16.99","-1.01","-0.15","0","0","0","2.70","0","1.01","1.74","0","0","0",12.70"
"fuck","midvalue","20200915","13351217131","Refund","111-8869341-1584221","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","TRUSSVILLE","AL","35173-1513","MarketplaceFacilitator","-16.99","-1.36","-5.99","-0.48","0","0","0","0","1.84","2.04","5.99","0","0",14.95"
"fuck","midvalue","20200916","13351217131","Refund","112-9980181-5395420","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","GREENSBORO","NC","27410-5500","MarketplaceFacilitator","-19.99","-1.35","0","0","0","0","0","0","1.35","2.40","0","0","0",17.59"
